subNr	firstCond	secondCond	inst_1	inst_2	firstSkill	secondSkill	firstStimuli	secondStimuli
1,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
2,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
3,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
4,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
5,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
6,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
7,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
8,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
9,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
10,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
11,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
12,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
13,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
14,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
15,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
16,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
17,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
18,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
19,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
20,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
21,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
22,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
23,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
24,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;
25,	teaching	performing	inst_t	inst_p	articulation	dynamics	stim_a	stim_d;
26,	performing	teaching	inst_p	inst_t	articulation	dynamics	stim_a	stim_d;
27,	teaching	performing	inst_t	inst_p	dynamics	articulation	stim_d	stim_a;
28,	performing	teaching	inst_p	inst_t	dynamics	articulation	stim_d	stim_a;